id,created_date,water_pH,TDS,water_temp
217171,2023-01-31 00:43:00,7.18,294,24.69
217174,2023-01-31 00:43:00,6.89,294,24.69
217175,2023-01-31 00:43:00,6.56,294,24.69
217181,2023-01-31 00:44:00,7.18,296,24.69
217188,2023-01-31 00:44:00,6.78,298,24.69
217190,2023-01-31 00:44:00,6.93,298,24.69
217191,2023-01-31 00:44:00,7.06,294,24.69
217192,2023-01-31 00:44:00,7.03,294,24.69
217193,2023-01-31 00:44:00,7.21,294,24.69
217195,2023-01-31 00:44:00,6.76,296,24.69
217199,2023-01-31 00:44:00,7.08,294,24.69
217203,2023-01-31 00:45:00,7.22,296,24.69
217210,2023-01-31 00:45:00,7.21,294,24.69
217211,2023-01-31 00:45:00,7.31,294,24.69
217214,2023-01-31 00:45:00,7.12,296,24.69
217217,2023-01-31 00:45:00,6.77,296,24.69
217218,2023-01-31 00:45:00,7.16,296,24.69
217220,2023-01-31 00:45:00,7.25,294,24.69
217221,2023-01-31 00:45:00,7.28,296,24.69
217224,2023-01-31 00:45:00,7.15,294,24.69
217227,2023-01-31 00:46:00,6.72,294,24.69
217228,2023-01-31 00:46:00,7.2,296,24.69
217230,2023-01-31 00:46:00,7.15,294,24.69
217234,2023-01-31 00:46:00,7.22,296,24.69
217236,2023-01-31 00:46:00,7.19,296,24.69
217237,2023-01-31 00:46:00,6.89,298,24.69
217238,2023-01-31 00:46:00,6.75,294,24.69
217242,2023-01-31 00:46:00,6.66,294,24.69
217243,2023-01-31 00:46:00,6.96,294,24.69
217246,2023-01-31 00:46:00,7.2,293,24.69
217249,2023-01-31 00:47:00,7.29,294,24.69
217251,2023-01-31 00:47:00,6.96,294,24.69
217253,2023-01-31 00:47:00,7.16,296,24.69
217254,2023-01-31 00:47:00,6.92,296,24.69
217258,2023-01-31 00:47:00,7.09,294,24.69
217260,2023-01-31 00:47:00,7.09,296,24.69
217268,2023-01-31 00:47:00,7.27,294,24.69
217272,2023-01-31 00:48:00,7.25,294,24.69
217273,2023-01-31 00:48:00,6.71,298,24.69
217274,2023-01-31 00:48:00,6.98,294,24.69
217275,2023-01-31 00:48:00,7.18,296,24.69
217276,2023-01-31 00:48:00,7.32,296,24.69
217279,2023-01-31 00:48:00,6.74,298,24.69
217280,2023-01-31 00:48:00,7.12,296,24.69
217281,2023-01-31 00:48:00,7.3,296,24.69
217282,2023-01-31 00:48:00,7.33,294,24.69
217283,2023-01-31 00:48:00,7.33,296,24.69
217286,2023-01-31 00:48:00,7.28,298,24.69
217288,2023-01-31 00:48:00,6.7,296,24.69
217290,2023-01-31 00:48:00,7.29,294,24.69
217292,2023-01-31 00:48:00,7.34,296,24.69
217293,2023-01-31 00:48:00,7.25,296,24.69
217294,2023-01-31 00:48:00,7.3,296,24.69
217295,2023-01-31 00:49:00,7.2,298,24.69
217296,2023-01-31 00:49:00,7.37,296,24.69
217298,2023-01-31 00:49:00,7.19,298,24.69
217299,2023-01-31 00:49:00,7.23,294,24.69
217302,2023-01-31 00:49:00,7.21,296,24.69
217305,2023-01-31 00:49:00,6.74,296,24.69
217306,2023-01-31 00:49:00,7.34,298,24.69
217309,2023-01-31 00:49:00,7.04,296,24.69
217311,2023-01-31 00:49:00,6.56,298,24.69
217312,2023-01-31 00:49:00,6.79,296,24.69
217313,2023-01-31 00:49:00,7.26,294,24.69
217314,2023-01-31 00:49:00,7.14,296,24.69
217315,2023-01-31 00:49:00,7.12,294,24.69
217317,2023-01-31 00:49:00,7.19,294,24.69
217318,2023-01-31 00:50:00,7.06,294,24.69
217320,2023-01-31 00:50:00,6.88,296,24.69
217321,2023-01-31 00:50:00,7.07,298,24.69
217325,2023-01-31 00:50:00,7.37,298,24.69
217329,2023-01-31 00:50:00,6.6,296,24.69
217337,2023-01-31 00:51:00,6.89,298,24.69
217340,2023-01-31 00:51:00,6.74,294,24.69
217341,2023-01-31 00:51:00,7.25,298,24.69
217348,2023-01-31 00:51:00,6.81,296,24.69
217349,2023-01-31 00:51:00,7.27,296,24.69
217350,2023-01-31 00:51:00,7.35,296,24.69
217351,2023-01-31 00:51:00,6.97,296,24.69
